"","site","species","resp.ratio.site_D","resp.ratio.site_PD","SE.RII_D","SE.RII_PD","persistence.site","mean.ctrl.cov","percrank","absrank","spatial_rarity","temporal_rarity"
"237","KNZ","Antennaria_neglecta",-1,-1,0,0,0.888888888888889,0.0444444444444445,0.568181818181818,51,0.431818181818182,0.111111111111111
"238","KNZ","Artemesia_ludoviciana",0.864406779661017,0.692307692307692,0.00353503341451553,0.0112396704585977,1,0.088888888888889,0.659090909090909,59,0.340909090909091,0
"239","KNZ","Asclepias_stenophylla",0.379310344827586,0.0999999999999994,0.0640525401560175,0.0660625786163521,0.777777777777778,0.0749999999999999,0.636363636363636,57,0.363636363636364,0.222222222222222
"240","KNZ","Asclepias_sullivantii",-4.16333634234433e-16,-1,0.499999999999997,0,0.555555555555556,0.025,0.522727272727273,47,0.477272727272727,0.444444444444444
"241","KNZ","Asclepias_syriaca",NA,-1,NA,0,0.111111111111111,0.00277777777777778,0.204545454545455,22.5,0.795454545454545,0.888888888888889
"242","KNZ","Asclepias_tuberosa",-1,-0.809523809523809,0,0.0176327389534326,0.666666666666667,0.0972222222222223,0.670454545454545,60,0.329545454545455,0.333333333333333
"243","KNZ","Asclepias_verticillata",0.173553719008264,0.342105263157895,0.00551865855791502,0.00748526744966794,1,1.17222222222222,0.863636363636364,77,0.136363636363636,0
"244","KNZ","Asclepias_viridiflora",0.333333333333333,NA,0.295675130056681,NA,0.111111111111111,0.00277777777777779,0.295454545454545,28.5,0.704545454545455,0.888888888888889
"245","KNZ","Asclepias_viridis",-0.9,0.11111111111111,0.0162889937106917,0.196932704114939,0.555555555555556,0.063888888888889,0.590909090909091,53,0.409090909090909,0.444444444444444
"246","KNZ","Aster_ericoides",-0.0105263157894734,0.208275862068966,0.0237892528072555,0.0166165050864647,1,0.969444444444444,0.840909090909091,75,0.159090909090909,0
"247","KNZ","Aster_oblongifolius",1,0.964125560538116,0,0.000654575722699192,0.222222222222222,0.0138888888888889,0.477272727272727,43,0.522727272727273,0.777777777777778
"248","KNZ","Baptisia_bracteata",0.48051948051948,0.61849710982659,0.0519101891153402,0.0330436479341725,1,0.152777777777778,0.704545454545455,63,0.295454545454545,0
"249","KNZ","Bouteloua_curtipendula",-0.131313131313131,0.293051359516616,0.0250059249133392,0.0348882101626041,1,1.11388888888889,0.852272727272727,76,0.147727272727273,0
"250","KNZ","Bouteloua_dactyloides",1,NA,0,NA,0,0,0,9.5,1,1
"251","KNZ","Bouteloua_gracilis",-1,-0.599999999999999,0,0.120271698113207,1,0.1,0.681818181818182,61,0.318181818181818,0
